gene,cell_type,log2fc,pval,padj
AL136456.1,TRAM-3,0.39775950784700825,0.8489359988805478,0.960451064784517
ASPM,TRAM-3,1.3034908466306858,0.6190882796177458,0.960451064784517
NR5A2,TRAM-3,0.39775950784700825,0.8489359988805478,0.960451064784517
GPR25,TRAM-3,1.182591413278473,0.6771158415224914,0.960451064784517
KIF21B,TRAM-3,1.947296964969072,0.1654447410693034,0.960451064784517
LAD1,TRAM-3,3.328781765928425,0.24208939601342327,0.960451064784517
ELF3,TRAM-3,1.7999006580785375,0.2994097412990704,0.960451064784517
PTPN7,TRAM-3,1.4383937047480837,0.5546973820086798,0.960451064784517
LGR6,TRAM-3,0.2125446353801006,0.9290127047257105,0.9730863032642807
CHI3L1,TRAM-3,0.1990065781938341,0.8933279446158071,0.9730863032642807
CHIT1,TRAM-3,1.9079048524884032,0.6478964682954139,0.960451064784517
BTG2,TRAM-3,2.1113212856018007,0.24661443492615542,0.960451064784517
ATP2B4,TRAM-3,1.9931158440148091,0.16555571128329194,0.960451064784517
LAX1,TRAM-3,1.6337448738074358,0.3664622767856942,0.960451064784517
IL10,TRAM-3,-0.34878077449511147,0.44987222637981694,0.960451064784517
FCMR,TRAM-3,-0.6757144464542577,0.5252731927265719,0.960451064784517
PIGR,TRAM-3,3.0533872127470247,0.2851319573711121,0.960451064784517
G0S2,TRAM-3,4.080555632446692,0.23833226111610728,0.960451064784517
TRAF3IP3,TRAM-3,2.416914786519514,0.320875545547452,0.960451064784517
TRAF5,TRAM-3,1.1959316109336005,0.47030731015819716,0.960451064784517
ATF3,TRAM-3,1.503915239637034,0.4249800530542587,0.960451064784517
CENPF,TRAM-3,2.8022715625412844,0.07416137217687961,0.960451064784517
LINC01705,TRAM-3,0.9356094127300454,0.6464541935977379,0.960451064784517
FAM177B,TRAM-3,1.3714482307311608,0.5898244395060338,0.960451064784517
LBR,TRAM-3,1.1496655883324167,0.4588341029078803,0.960451064784517
OBSCN,TRAM-3,1.5364958080160072,0.32221246308294893,0.960451064784517
HIST3H2A,TRAM-3,0.784642908773986,0.8791668013243317,0.9730863032642807
PCNX2,TRAM-3,1.5227757033584473,0.25440386853152497,0.960451064784517
SLC35F3,TRAM-3,0.4957492985381031,0.9297282440394329,0.9734821038637003
EDARADD,TRAM-3,4.6420230319157705,0.11266720347349313,0.960451064784517
RYR2,TRAM-3,0.39775950784700825,0.8489359988805478,0.960451064784517
CHRM3-AS2,TRAM-3,3.8799942492917845,0.06239548469120161,0.960451064784517
NLRP3,TRAM-3,-0.6440502079078257,0.568600083689327,0.960451064784517
SNTG2,TRAM-3,1.615177113768164,0.5401939723107336,0.960451064784517
RSAD2,TRAM-3,3.660497601413121,0.057475772437913276,0.960451064784517
RNF144A,TRAM-3,4.290677160902923,0.11947430044110165,0.960451064784517
AC013460.1,TRAM-3,2.4020984435713455,0.39745639100261987,0.960451064784517
LINC01871,TRAM-3,3.2824633401908647,0.3150081225689444,0.960451064784517
LINC00299,TRAM-3,3.107528464304445,0.28314581232208236,0.960451064784517
ID2,TRAM-3,1.9641366881246178,0.27788461538461545,0.960451064784517
RRM2,TRAM-3,5.374211485820104,0.11367345932145353,0.960451064784517
TRIB2,TRAM-3,1.3434100342077655,0.6612369541331482,0.960451064784517
LINC00954,TRAM-3,3.3736592580465143,0.25769410589147335,0.960451064784517
RHOB,TRAM-3,1.828111030074024,0.3288461538461539,0.960451064784517
GAREM2,TRAM-3,1.7574296967259218,0.5407670655457599,0.960451064784517
OTOF,TRAM-3,5.28158050790984,0.2944864503456296,0.960451064784517
TOGARAM2,TRAM-3,2.2873759196567742,0.2582759677989499,0.960451064784517
LBH,TRAM-3,3.427196427347256,0.09017155974784323,0.960451064784517
AC006369.1,TRAM-3,1.4363480055242561,0.6146255017336555,0.960451064784517
CYP1B1,TRAM-3,-1.6574930068464053,0.802068903371288,0.960451064784517
LINC02580,TRAM-3,5.134507812301095,0.045921977124269486,0.960451064784517
ZFP36L2,TRAM-3,1.8237527965210467,0.27788461538461545,0.960451064784517
KCNK12,TRAM-3,1.182591413278473,0.616634237960575,0.960451064784517
